FID	X	site_id	county	date	year	site_nm	trnsct_	mdw_wd_	emrgn__	sbmrg__	pont_nm	gps_lon	gps_lat	wtr_dp_	bttm_vs	sbstrt_	org_dp_	unvgtt_	ttl_cv_	stndn__	dtrts_p	variabl	Hydrc__	Phrgmt_	Phr____	Typh_ng	Typh_gl	Typ____	Typh_lt	Typh_s_	typh_cm	hyd_bin	typh_bn	UTM	NEAR_FID	NEAR_DIST	area	perimeter	glcwc_cwi_	glcwc_cwi1	other	usgs_quad	lk_basin	wetland_na	hgm_cls1	hgm_cls2	comments	x_centroid	y_centroid	hectares	nwi	wwi	owi	hwi	lowi	h_num	ditch_cons	dykes	dams	dredging	jetty	road_const	filled	marina	waste_sewa	geo_id	country	human_mod	MeanFetch	SD_Fetch	MeanREI	SD_REI
431	532	590	Cheboygan	7/6/2016	2016	BENCHMARK:Cheboygan Area Wetland #2	2	0	341	25	6	-84.47234	45.655338	35	V	Sand	65	75	25	0.5	60	percent_cover	0	0	0	0	20	0	0	0	20	0	1	16N	278	368.9777063	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2606.50415	629.4569702	13323.63672	4311.972656
432	533	590	Cheboygan	7/6/2016	2016	BENCHMARK:Cheboygan Area Wetland #2	2	0	341	25	7	-84.472078	45.655803	35	V	Sand	60	55	45	10	45	percent_cover	0	0	0	0	40	0	0	0	40	0	1	16N	278	365.9419034	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2606.50415	629.4569702	13323.63672	4311.972656
433	534	590	Cheboygan	7/6/2016	2016	BENCHMARK:Cheboygan Area Wetland #2	2	0	341	25	8	-84.471877	45.65624	65	V	Sand	35	60	40	8	45	percent_cover	0	0	0	0	35	0	0	0	35	0	1	16N	278	373.7691219	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2309.280762	561.4811401	11947.27539	3871.578613
434	535	590	Cheboygan	7/6/2016	2016	BENCHMARK:Cheboygan Area Wetland #2	2	0	341	25	9	-84.471698	45.656721	78	NV	Sand	42	90	10	0.5	40	percent_cover	0	0	0	0	8	0	0	0	8	0	1	16N	278	392.5753368	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2309.280762	561.4811401	11947.27539	3871.578613
435	536	590	Cheboygan	7/6/2016	2016	BENCHMARK:Cheboygan Area Wetland #2	2	0	341	25	10	-84.471486	45.657263	75	V	Sand	55	89	11	1	50	percent_cover	0	0	0	0	10	0	0	0	10	0	1	16N	278	420.9560867	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2612.110352	637.4439087	13470.89746	4370.537598
436	537	590	Cheboygan	7/6/2016	2016	BENCHMARK:Cheboygan Area Wetland #2	3	25	252	25	6	-84.475443	45.656936	65	V	Sand	45	83.5	16.5	0.5	15	percent_cover	0	0	0	0	10	0	0	0	10	0	1	16N	278	656.6968229	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2654.654297	917.203064	16093.86035	6069.734375
437	538	590	Cheboygan	7/6/2016	2016	BENCHMARK:Cheboygan Area Wetland #2	3	25	252	25	10	-84.476432	45.658371	75	V	Sand	35	74	26	5	20	percent_cover	0	0	0	0	20	0	0	0	20	0	1	16N	278	800.2781976	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	3311.656006	1011.669861	20075.47656	6625.523926
438	539	590	Cheboygan	8/16/2018	2018	BENCHMARK:Cheboygan Area Wetland #2	1	0	319	25	6	-84.470697	45.655781	40	NV	Cly/Snd	60	50	50	10	100	percent_cover	0	0	0	0	45	0	0	0	45	0	1	16N	278	268.643263	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	1120.686035	340.6823425	6222.836914	2371.70752
439	540	590	Cheboygan	8/16/2018	2018	BENCHMARK:Cheboygan Area Wetland #2	1	0	319	25	7	-84.47056	45.656257	40	NV	Sand	20	8	92	3	100	percent_cover	0	0	0	0	40	0	0	0	40	0	1	16N	278	291.3810527	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	1120.686035	340.6823425	6222.836914	2371.70752
440	541	590	Cheboygan	8/16/2018	2018	BENCHMARK:Cheboygan Area Wetland #2	1	0	319	25	8	-84.470381	45.656716	80	NV	Cly/Snd	45	70	30	2	100	percent_cover	0	0	0	0	3	0	0	0	3	0	1	16N	278	318.0994503	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	1120.686035	340.6823425	6222.836914	2371.70752
441	542	590	Cheboygan	8/16/2018	2018	BENCHMARK:Cheboygan Area Wetland #2	2	0	369	7	6	-84.473042	45.655722	30	NV	Sand	41	0	100	0	100	percent_cover	0	0	0	0	0	17	0	0	17	0	1	16N	278	433.3599135	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2606.50415	629.4569702	13323.63672	4311.972656
442	543	590	Cheboygan	8/16/2018	2018	BENCHMARK:Cheboygan Area Wetland #2	2	0	369	7	7	-84.472629	45.6562	50	NV	Cly/Snd	25	75	25	4	100	percent_cover	0	0	0	0	0	5	0	0	5	0	1	16N	278	423.3068627	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2606.50415	629.4569702	13323.63672	4311.972656
443	544	590	Cheboygan	8/16/2018	2018	BENCHMARK:Cheboygan Area Wetland #2	2	0	369	7	8	-84.47215	45.65665	70	NV	Cly/Snd	35	35	65	25	100	percent_cover	0	0	0	20	0	0	0	0	0	0	0	16N	278	416.2479846	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2606.50415	629.4569702	13323.63672	4311.972656
444	545	590	Cheboygan	8/16/2018	2018	BENCHMARK:Cheboygan Area Wetland #2	2	0	369	7	9	-84.471743	45.65711	82	NV	Or/Si	40	20	80	0.5	100	percent_cover	0	0	0	35	0	0	0	0	0	0	0	16N	278	423.3530036	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	2309.280762	561.4811401	11947.27539	3871.578613
445	556	591	Cheboygan	8/16/2018	2018	Cheboygan Area Wetland #3	1	10	240	50	6	-84.480011	45.658556	50	V	Sand	30	66.5	33.5	2	100	percent_cover	0	0	0	25	0	0	0	0	0	0	0	16N	278	1055.400781	124931.8619	2124.855245	6267	6267	 	Cheboygan	LKH	Cheboygan Area Wetland #3	LOE	 	wastewater	696392.3466	5058895.792	12.49	T	F	F	T	F	124	F	F	F	T	F	T	T	F	T	591	USA	1	3367.773438	761.87677	17133.07422	5251.405762
446	557	591	Cheboygan	8/16/2018	2018	Cheboygan Area Wetland #3	2	10	133	34	6	-84.478352	45.657063	70	NV	Sand	20	31	69	15	100	percent_cover	0	0	0	55	0	0	0	0	0	0	0	16N	278	873.1500906	124931.8619	2124.855245	6267	6267	 	Cheboygan	LKH	Cheboygan Area Wetland #3	LOE	 	wastewater	696392.3466	5058895.792	12.49	T	F	F	T	F	124	F	F	F	T	F	T	T	F	T	591	USA	1	1376.760986	425.1124878	7742.960449	2954.40918
447	558	591	Cheboygan	8/16/2018	2018	Cheboygan Area Wetland #3	2	10	133	34	7	-84.478315	45.657277	75	NV	Sand	65	0	100	20	85	percent_cover	0	0	0	30	0	0	0	0	0	0	0	16N	278	878.4054353	124931.8619	2124.855245	6267	6267	 	Cheboygan	LKH	Cheboygan Area Wetland #3	LOE	 	wastewater	696392.3466	5058895.792	12.49	T	F	F	T	F	124	F	F	F	T	F	T	T	F	T	591	USA	1	1794.584961	575.5407715	10247.99707	3981.727295
448	559	591	Cheboygan	8/16/2018	2018	Cheboygan Area Wetland #3	2	10	133	34	8	-84.478144	45.657476	82	V	Sand	5	99	1	0	100	percent_cover	0	0	0	35	0	0	0	0	0	0	0	16N	278	873.9675331	124931.8619	2124.855245	6267	6267	 	Cheboygan	LKH	Cheboygan Area Wetland #3	LOE	 	wastewater	696392.3466	5058895.792	12.49	T	F	F	T	F	124	F	F	F	T	F	T	T	F	T	591	USA	1	2161.101074	701.7557373	12408.42871	4821.564453
449	560	591	Cheboygan	8/16/2018	2018	Cheboygan Area Wetland #3	2	10	133	34	9	-84.478033	45.657658	70	V	Sand	30	55	45	15	75	percent_cover	0	0	0	30	0	0	0	0	0	0	0	16N	278	873.8046577	124931.8619	2124.855245	6267	6267	 	Cheboygan	LKH	Cheboygan Area Wetland #3	LOE	 	wastewater	696392.3466	5058895.792	12.49	T	F	F	T	F	124	F	F	F	T	F	T	T	F	T	591	USA	1	2161.101074	701.7557373	12408.42871	4821.564453
450	561	591	Cheboygan	8/16/2018	2018	Cheboygan Area Wetland #3	2	10	133	34	10	-84.478012	45.657828	85	V	Sand	20	35	65	10	85	percent_cover	0	0	0	60	0	0	0	0	0	0	0	16N	278	880.0073459	124931.8619	2124.855245	6267	6267	 	Cheboygan	LKH	Cheboygan Area Wetland #3	LOE	 	wastewater	696392.3466	5058895.792	12.49	T	F	F	T	F	124	F	F	F	T	F	T	T	F	T	591	USA	1	2565.038086	816.5054932	14736.42676	5612.98877
451	564	591	Cheboygan	8/16/2018	2018	Cheboygan Area Wetland #3	3	6	240	50	10	-84.476856	45.658063	92	V	Sand	8	80	20	2	100	percent_cover	0	0	0	4	0	0	0	0	0	0	0	16N	278	811.2991364	190713.2847	3115.70224	6266	6266	 	Cheboygan	LKH	Cheboygan Area Wetland #2	LOE	 	wastewater	696923.5898	5058857.823	19.07	T	F	F	T	F	123	F	F	F	T	F	T	T	F	T	590	USA	1	3406.258545	1134.496948	20208.15039	7556.905762
452	565	592	Cheboygan	7/1/2014	2014	Cheboygan Area Wetland #4	1	32	10	25	4	-84.482456	45.660225	23	V	Pbl/Cbl	5	85	15	1	95	percent_cover	0	0	0	1	0	0	0	0	0	0	0	16N	278	1309.562737	185397.3017	2998.591846	6271	6271	 	Cheboygan	LKH	Cheboygan Area Wetland #4	LOE	 	residential development exists	695994.9504	5059122.957	18.54	T	F	F	T	F	125	F	F	F	T	F	T	T	F	F	592	USA	1	3963.239014	842.951355	20166.88086	5860.421875
453	566	592	Cheboygan	7/1/2014	2014	Cheboygan Area Wetland #4	1	32	10	25	5	-84.482368	45.660276	5	V	Pbl/Cbl	10	85	15	1	25	percent_cover	0	0	0	0	1	0	0	0	1	0	1	16N	278	1306.325031	185397.3017	2998.591846	6271	6271	 	Cheboygan	LKH	Cheboygan Area Wetland #4	LOE	 	residential development exists	695994.9504	5059122.957	18.54	T	F	F	T	F	125	F	F	F	T	F	T	T	F	F	592	USA	1	3963.239014	842.951355	20166.88086	5860.421875
454	567	592	Cheboygan	7/1/2014	2014	Cheboygan Area Wetland #4	3	21	10	25	4	-84.48148	45.659607	15	V	Pbl/Cbl	20	85	15	6	90	percent_cover	0	0	0	0.5	0	0	0	0	0	0	0	16N	278	1209.989085	185397.3017	2998.591846	6271	6271	 	Cheboygan	LKH	Cheboygan Area Wetland #4	LOE	 	residential development exists	695994.9504	5059122.957	18.54	T	F	F	T	F	125	F	F	F	T	F	T	T	F	F	592	USA	1	3265.617676	770.8701782	17080.21289	5426.962891
455	568	592	Cheboygan	7/1/2014	2014	Cheboygan Area Wetland #4	3	21	10	25	6	-84.481464	45.659676	1	V	Sand	1	95	5	1	15	percent_cover	0	0	0	0	3	0	0	0	3	0	1	16N	278	1212.485587	185397.3017	2998.591846	6271	6271	 	Cheboygan	LKH	Cheboygan Area Wetland #4	LOE	 	residential development exists	695994.9504	5059122.957	18.54	T	F	F	T	F	125	F	F	F	T	F	T	T	F	F	592	USA	1	3265.617676	770.8701782	17080.21289	5426.962891
456	569	613	Mackinac	7/12/2016	2016	Steel Creek Wetland	1	225	110	54	10	-84.462502	46.00688	109	V	Cly/Slt	23	30	70	0	15	percent_cover	0	0	0	7	0	0	0	0	0	0	0	16N	335	2847.721822	940502.0146	7523.143833	7230	7231	 	Hessel	LKH	Steel Creek Wetland	LPP	 	residential development exists	695322.3364	5098646.377	94.05	T	F	F	T	F	146	T	F	F	F	F	T	F	F	F	613	USA	1	1733.157471	403.0408936	9110.484375	2317.745361
457	573	615	Mackinac	8/6/2012	2012	Mill Pond Wetland	3	87	14	50	7	-84.43554	46.005929	2	V	Cly/Slt	0	60	55	4	2	percent_cover	0	0	0	1	0	0	0	0	0	0	0	16N	335	794.8541581	48322.40734	1769.270857	7219	7220	 	Hessel	LKH	Mill Pond Wetland	LPP	 	residential development exists	698598.222	5098029.641	4.83	T	F	F	T	F	148	F	F	F	T	F	T	F	F	F	615	USA	1	1661.886963	173.3122864	9073.750977	1003.341736
458	574	616	Mackinac	8/6/2012	2012	Mackinac Creek Wetland	2	365	136	70	7	-84.411025	46.003323	0.5	V	Cly/Slt	3	20	80	2	2	percent_cover	0	0	0	0.5	0	0	0	0	0	0	0	16N	262	1128.022226	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	527.9509888	66.17500305	2764.263916	337.1300659
459	575	616	Mackinac	8/6/2012	2012	Mackinac Creek Wetland	3	40	392	25	1	-84.414226	45.998579	0	Dry	Cly/Slt	0	0	71	1	100	percent_cover	0	45	0	0	0	0	0	0	0	0	0	16N	262	981.5618198	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	282.5744934	16.3970108	1460.871094	134.6374359
460	576	616	Mackinac	8/6/2012	2012	Mackinac Creek Wetland	3	40	392	25	5	-84.413885	45.998646	0	Dry	Cly/Slt	0	0	50	20	100	percent_cover	0	0	0	25	0	1	0	0	1	0	1	16N	262	1001.982303	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	282.5744934	16.3970108	1460.871094	134.6374359
461	577	616	Mackinac	7/3/2015	2015	Mackinac Creek Wetland	1	72	450	0	5	-84.409203	46.004856	28	V	Cly/Slt	10	54	46	3	100	percent_cover	0	0	0	3	0	0	0	0	0	0	0	16N	262	1291.587633	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	407.1082459	77.8314209	2118.465576	421.4573364
462	578	616	Mackinac	7/3/2015	2015	Mackinac Creek Wetland	3	42	43	13	4	-84.409491	45.995	46	V	Cly/Slt	3	55	45	0	100	percent_cover	0	0	1	0	0	0	0	0	0	0	0	16N	262	1500.248007	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	290.3619995	49.79175568	1609.754272	367.1557922
463	579	616	Mackinac	7/20/2017	2017	Mackinac Creek Wetland	1	173	215	58	6	-84.410292	46.004065	90	NV	Cly/Slt	25	70	30	5	60	percent_cover	0	0	0	25	0	0	0	0	0	0	0	16N	262	1193.473796	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	513.0980225	79.39540863	2671.471436	417.9133606
464	580	616	Mackinac	7/20/2017	2017	Mackinac Creek Wetland	1	173	215	58	7	-84.410439	46.003687	100	NV	Cly/Slt	5	81	19	0	60	percent_cover	0	0	0	10	0	0	0	0	0	0	0	16N	262	1176.948193	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	534.2122803	76.87174988	2795.86377	404.5829468
465	581	616	Mackinac	7/20/2017	2017	Mackinac Creek Wetland	2	256	282	25	3	-84.414971	46.003803	35	V	Sand	25	50	30	1	80	percent_cover	0	0	0	0	0	2	0	0	2	0	1	16N	262	830.834479	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	261.7609863	40.29040146	1287.715698	193.31987
466	582	616	Mackinac	7/20/2017	2017	Mackinac Creek Wetland	3	34	158	0	6	-84.41369	45.99859	95	NV	Cly/Slt	15	79	21	0	90	percent_cover	0	0	0	20	0	0	0	0	0	0	0	16N	262	1018.295649	1057234.597	6274.352775	7217	7218	 	Hessel/Goose Island	LKH	Mackinac Creek Wetland	LPP	 	residential development exists	700541.6336	5097498.995	105.72	T	F	F	T	F	149	F	F	F	F	F	T	F	F	F	616	USA	1	294.4205017	15.09456444	1539.720215	138.4426422
467	583	617	Mackinac	7/12/2014	2014	Mackinac Bay Wetland	2	130	10	25	9	-84.391864	45.998521	25	V	Cly/Slt	100	85	15	5	98	percent_cover	0	0	0	1	0	0	0	0	0	0	0	16N	117	2299.393486	199928.4536	3616.523174	7197	7198	 	Hessel/Goose Island	LKH	Mackinac Bay Wetland	LPP	 	residential development exists	702041.5597	5097110.567	19.99	T	F	F	T	F	150	F	F	F	F	F	T	F	F	F	617	USA	1	136.1572418	5.671277046	742.4226074	52.84952545
468	584	617	Mackinac	7/12/2014	2014	Mackinac Bay Wetland	2	130	10	25	10	-84.391863	45.998538	31	V	Cly/Slt	100	75	25	2	98	percent_cover	0	0	0	2	0	0	0	0	0	0	0	16N	117	2299.62043	199928.4536	3616.523174	7197	7198	 	Hessel/Goose Island	LKH	Mackinac Bay Wetland	LPP	 	residential development exists	702041.5597	5097110.567	19.99	T	F	F	T	F	150	F	F	F	F	F	T	F	F	F	617	USA	1	136.1572418	5.671277046	742.4226074	52.84952545
469	585	629	Mackinac	7/10/2014	2014	Ailes Point Area Wetland #3	1	68	60	25	1	-84.351671	45.987687	0	Dry	Cly/Slt	70	70	30	15	95	percent_cover	0	0	2	0	0	0	0	0	0	0	0	16N	150	1160.253395	237035.9248	2393.769441	7114	7115	 	Cedarville	LKH	Ailes Point Area Wetland #3	LPP	 	"wetland is contiguous;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	705248.0253	5096132.317	23.7	T	F	F	T	F	162	F	F	F	F	F	F	F	F	F	629	USA	0	265.9862366	26.55286598	1468.811646	159.3542633
470	586	629	Mackinac	7/10/2014	2014	Ailes Point Area Wetland #3	2	190	55	25	5	-84.351085	45.986667	26	V	Cly/Slt	60	75	25	7	100	percent_cover	0	0	0	0	0	0	10	0	0	0	0	16N	150	1276.137652	237035.9248	2393.769441	7114	7115	 	Cedarville	LKH	Ailes Point Area Wetland #3	LPP	 	"wetland is contiguous;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	705248.0253	5096132.317	23.7	T	F	F	T	F	162	F	F	F	F	F	F	F	F	F	629	USA	0	265.8265076	13.54690456	1525.266846	94.35827637
471	587	629	Mackinac	7/10/2014	2014	Ailes Point Area Wetland #3	3	190	45	25	5	-84.350987	45.985982	23	V	Cly/Slt	50	60	40	2	98	percent_cover	0	0	0	0	0	0	3	0	0	0	0	16N	150	1340.502074	237035.9248	2393.769441	7114	7115	 	Cedarville	LKH	Ailes Point Area Wetland #3	LPP	 	"wetland is contiguous;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	705248.0253	5096132.317	23.7	T	F	F	T	F	162	F	F	F	F	F	F	F	F	F	629	USA	0	283.8659973	9.487926483	1640.812744	57.77698135
472	588	630	Mackinac	6/23/2011	2011	Ailes Point Area Wetland #2	1	13	190	0	2	-84.362723	45.99458	10	V	Sand	1	0	5	90	5	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	70.44119452	291691.4698	2728.061265	7153	7154	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	29.17	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	248.723999	27.36049843	1261.686401	150.8359222
473	589	630	Mackinac	6/23/2011	2011	Ailes Point Area Wetland #2	1	13	190	0	3	-84.362698	45.994512	15	V	Sand	1	0	10	5	95	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	77.62906959	291691.4698	2728.061265	7153	7154	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	29.17	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	248.723999	27.36049843	1261.686401	150.8359222
474	590	630	Mackinac	6/23/2011	2011	Ailes Point Area Wetland #2	1	13	190	0	4	-84.362628	45.994395	17	V	Sand	1.5	0	30	1	100	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	90.10613949	291691.4698	2728.061265	7153	7154	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	29.17	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	248.723999	27.36049843	1261.686401	150.8359222
475	592	630	Mackinac	6/25/2011	2011	Ailes Point Area Wetland #2	2	61	150	25	3	-84.362073	45.993408	15	V	Cly/Slt	2	0	40	1	95	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	203.3756867	58485.73574	1400.815793	7128	7129	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	5.85	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	234.2242432	14.43580055	1190.843506	100.8573761
476	593	630	Mackinac	6/25/2011	2011	Ailes Point Area Wetland #2	2	61	150	25	4	-84.361925	45.993434	15	V	Cly/Slt	2	0	26	8	95	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	203.0486159	58485.73574	1400.815793	7128	7129	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	5.85	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	234.2242432	14.43580055	1190.843506	100.8573761
477	594	630	Mackinac	6/25/2011	2011	Ailes Point Area Wetland #2	2	61	150	25	5	-84.361793	45.993423	15	V	Cly/Slt	2	0	25	3	90	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	206.971172	58485.73574	1400.815793	7128	7129	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	5.85	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	234.2242432	14.43580055	1190.843506	100.8573761
478	595	630	Mackinac	6/25/2011	2011	Ailes Point Area Wetland #2	2	61	150	25	6	-84.36138	45.993466	40	V	Cly/Slt	2	0	100	5	20	percent_cover	0	0	0	0	0	0	8	0	0	0	0	16N	117	214.1010166	58485.73574	1400.815793	7128	7129	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	5.85	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	310.5672607	17.39156914	1587.512817	100.2459793
479	596	630	Mackinac	6/25/2011	2011	Ailes Point Area Wetland #2	3	150	114	25	1	-84.362119	45.991871	3	V	Sand	20	30	50	8	70	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	372.2058705	58485.73574	1400.815793	7128	7129	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	5.85	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	289.9799805	4.319149494	1498.534058	109.5184555
480	597	630	Mackinac	6/25/2011	2011	Ailes Point Area Wetland #2	3	150	114	25	3	-84.361539	45.991917	5	V	Cly/Slt	20	60	17	35	40	percent_cover	0	0	0	0	0	0.5	0	0	0.5	0	1	16N	117	374.0694248	58485.73574	1400.815793	7128	7129	 	Cedarville	LKH	Ailes Point Area Wetland #2	LPP	 	"rock sea wall;Herdendorf associated point not centroid, point moved to represent portion of subdivided Herdendorf wetland with no digital representation; residential development exists"	703956.149	5096665.548	5.85	T	F	F	T	F	162	F	F	F	T	T	T	T	T	F	630	USA	1	258.7867432	10.9011116	1338.088623	143.2740631
