"","�..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin"
"227",226,1306,3,"7/27/2014","CMU",2014,7,"Excellent",35,"V","Sand",3,5,95,40,90,"percent_cover",0,0,0,0,30,0,0,30,"Duck Lake Wetland","Muskegon","E. Tuttle","A. Baier",1,0,83,10,25,80,"A (=1); Both meadow and emergent perpendicular to main transect axis (narrow zones), B (=2); crazy organics, C (=3); Extra transect completed in lake due to inaccessible creek. Meadow and emergent zones sampled parallel to transect.",200,1841.87781476,0,0,0,0,550215.505843667,4799030.7683416,0,0.3,0
"228",227,1306,3,"7/27/2014","CMU",2014,8,"Excellent",40,"V","Sand",2,5,95,20,70,"percent_cover",0,0,0,0,20,0,0,20,"Duck Lake Wetland","Muskegon","E. Tuttle","A. Baier",1,0,83,10,25,80,"A (=1); Both meadow and emergent perpendicular to main transect axis (narrow zones), B (=2); crazy organics, C (=3); Extra transect completed in lake due to inaccessible creek. Meadow and emergent zones sampled parallel to transect.",200,1841.36538702,0,0,0,0,550215.216242824,4799026.10161028,0,0.2,0
"229",228,1306,3,"7/27/2014","CMU",2014,9,"Excellent",24,"V","Sand",3,5,95,20,80,"percent_cover",0,0,0,0,55,0,0,55,"Duck Lake Wetland","Muskegon","E. Tuttle","A. Baier",1,0,83,10,25,80,"A (=1); Both meadow and emergent perpendicular to main transect axis (narrow zones), B (=2); crazy organics, C (=3); Extra transect completed in lake due to inaccessible creek. Meadow and emergent zones sampled parallel to transect.",200,1841.22844981,0,0,0,0,550215.145903084,4799024.65728907,0,0.55,0
"230",229,1306,3,"7/27/2014","CMU",2014,10,"Excellent",20,"V","Sand",3,20,80,8,50,"percent_cover",0,0,0,0,45,0,0,45,"Duck Lake Wetland","Muskegon","E. Tuttle","A. Baier",1,0,83,10,25,80,"A (=1); Both meadow and emergent perpendicular to main transect axis (narrow zones), B (=2); crazy organics, C (=3); Extra transect completed in lake due to inaccessible creek. Meadow and emergent zones sampled parallel to transect.",200,1842.35884993,0,0,0,0,550216.57410971,4799017.89313896,0,0.45,0
"231",230,1306,3,"7/6/2020","CMU",2020,2,"Confirmed",45,"NV","Cly/Slt",5,15,85,4,100,"percent_cover",0,0,0,0,40,0,0,40,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2383.92850608,0,0,0,0,550733.969604412,4799288.85619544,0,0.4,0
"232",231,1306,3,"7/6/2020","CMU",2020,4,"Confirmed",45,"NV","Cly/Slt",25,30,70,0.5,100,"percent_cover",0,0,0,0,5,0,0,5,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2382.1070474,0,0,0,0,550732.360233769,4799287.28926381,0,0.05,0
"233",232,1306,3,"7/6/2020","CMU",2020,5,"Confirmed",40,"NV","Cly/Slt",5,25,75,0.5,100,"percent_cover",0,0,0,0,12,0,0,12,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2382.86606157,0,0,0,0,550732.831552621,4799289.29190793,0,0.12,0
"234",233,1306,3,"7/6/2020","CMU",2020,6,"Confirmed",47,"NV","Cly/Slt",4,40,60,50,100,"percent_cover",0,0,0,0,60,0,0,60,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2381.43626321,0,0,0,0,550733.337577536,4799275.85724229,0,0.6,0
"235",234,1306,3,"7/6/2020","CMU",2020,7,"Confirmed",53,"NV","Cly/Slt",14,23,77,25,100,"percent_cover",0,3,0,0,70,0,0,70,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2380.36123745,0,0,0,0,550733.484419544,4799267.08447285,0,0.7,0
"236",235,1306,3,"7/6/2020","CMU",2020,8,"Confirmed",56,"NV","Cly/Slt",17,30,70,45,100,"percent_cover",0,0,0,0,70,0,0,70,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2380.13648312,0,0,0,0,550734.440947275,4799258.42883696,0,0.7,0
"237",236,1306,3,"7/6/2020","CMU",2020,9,"Confirmed",60,"NV","Cly/Slt",5,35,65,70,100,"percent_cover",0,0,0,0,65,0,0,65,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2383.13784381,0,0,0,0,550738.469122389,4799250.90685307,0,0.65,0
"238",237,1306,3,"7/6/2020","CMU",2020,10,"Confirmed",61,"NV","Cly/Slt",5,32,68,65,100,"percent_cover",0,0,0,0,68,0,0,68,"Duck Lake Wetland","Muskegon","A. Kneisel","O. Anderson",1,0,175,11,55,10,"T.1: pt.8 GPS inaccurate. pt.10 moved few meters right quadrat due to muskrat lodge., T.2: Meadow narrow sampled.  Submergent had many fallen trees. Pt. 12 and 13 rake not consistently touching bottom., T.3: Pt.1: Cornus amomum overhanging. Submergent wa",200,2383.64850206,0,0,0,0,550740.330556994,4799240.48101815,0,0.68,0
"239",238,1313,1,"7/25/2012","OSU",2012,1,"Excellent",0,"Dry","Cly/Slt",31,0,95,2,80,"percent_cover",0,0,0,0,0,2,0,2,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,336,16,10,10,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6741.6252864,0,0,0,0,563843.328809892,4756958.17563786,0,0.02,0
"240",239,1313,1,"7/25/2012","OSU",2012,3,"Excellent",0,"Dry","Cly/Slt",62,0,95,2,45,"percent_cover",0,0,0,0,0,3,0,3,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,336,16,10,10,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6743.97986685,0,0,0,0,563842.004229861,4756960.27340494,0,0.03,0
"241",240,1313,1,"7/25/2012","OSU",2012,4,"Excellent",0,"Dry","Cly/Slt",25,0,95,2,15,"percent_cover",0,0,0,0,0,1,0,1,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,336,16,10,10,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6748.26645748,0,0,0,0,563838.382576974,4756963.79353708,0,0.01,0
"242",241,1313,2,"7/11/2017","CMU",2017,2,"Excellent",15,"NV","Cly/Slt",85,0,100,10,20,"percent_cover",0,0,0,0,0,15,0,15,"Little Pigeon Creek Wetland","Ottawa","J. Dybiec","M. Sand",1,0,196,17,21,0,"Submergent zones too unsafe to sample on foot, very mucky, no canoe access either.  Transect 1: emergent zone narrow sampled, and transect 3 moved to allow safe sampling.",173,6856.54181172,0,0,0,0,563798.774299282,4757065.48711296,0,0.15,0
"243",242,1313,2,"7/11/2017","CMU",2017,3,"Excellent",1,"V","Cly/Slt",133,0,100,10,45,"percent_cover",0,0,0,0,5,25,0,30,"Little Pigeon Creek Wetland","Ottawa","J. Dybiec","M. Sand",1,0,196,17,21,0,"Submergent zones too unsafe to sample on foot, very mucky, no canoe access either.  Transect 1: emergent zone narrow sampled, and transect 3 moved to allow safe sampling.",173,6857.17109535,0,0,0,0,563798.849656098,4757066.15416197,0,0.3,0
"244",243,1313,2,"7/11/2017","CMU",2017,4,"Excellent",1,"V","Cly/Slt",173,0,100,5,25,"percent_cover",0,0,0,0,3,0,0,3,"Little Pigeon Creek Wetland","Ottawa","J. Dybiec","M. Sand",1,0,196,17,21,0,"Submergent zones too unsafe to sample on foot, very mucky, no canoe access either.  Transect 1: emergent zone narrow sampled, and transect 3 moved to allow safe sampling.",173,6853.22439988,0,0,0,0,563803.769948422,4757063.31244305,0,0.03,0
"245",244,1313,2,"7/11/2017","CMU",2017,5,"Excellent",3,"V","Cly/Slt",185,0,100,1,15,"percent_cover",0,0,0,0,5,0,0,5,"Little Pigeon Creek Wetland","Ottawa","J. Dybiec","M. Sand",1,0,196,17,21,0,"Submergent zones too unsafe to sample on foot, very mucky, no canoe access either.  Transect 1: emergent zone narrow sampled, and transect 3 moved to allow safe sampling.",173,6848.86790746,0,0,0,0,563802.102720419,4757058.41037723,0,0.05,0
"246",245,1313,2,"7/11/2017","CMU",2017,6,"Excellent",2,"V","Cly/Slt",195,0,100,0,65,"percent_cover",0,0,0,0,1,0,0,1,"Little Pigeon Creek Wetland","Ottawa","J. Dybiec","M. Sand",1,0,196,17,21,0,"Submergent zones too unsafe to sample on foot, very mucky, no canoe access either.  Transect 1: emergent zone narrow sampled, and transect 3 moved to allow safe sampling.",173,6843.57524385,0,0,0,0,563803.536730185,4757053.3150562,0,0.01,0
"247",246,1313,2,"7/25/2012","OSU",2012,1,"Excellent",0,"Dry","Cly/Slt",60,0,100,1,25,"percent_cover",0,0,0,0,0,5,0,5,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,160,10,10,11,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6595.37323987,0,0,0,0,564259.222309105,4756898.20256352,0,0.05,0
"248",247,1313,2,"7/25/2012","OSU",2012,2,"Excellent",0,"Dry","Cly/Slt",55,0,100,3,40,"percent_cover",0,0,0,0,0,7,0,7,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,160,10,10,11,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6594.17559904,0,0,0,0,564257.930893287,4756896.74670513,0,0.07,0
"249",248,1313,2,"7/25/2012","OSU",2012,3,"Excellent",0,"Dry","Cly/Slt",59,0,100,2,30,"percent_cover",0,0,0,0,0,5,0,5,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,160,10,10,11,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6592.19972166,0,0,0,0,564259.252491537,4756894.98216209,0,0.05,0
"250",249,1313,2,"7/25/2012","OSU",2012,4,"Excellent",0,"Dry","Cly/Slt",95,2,100,1,15,"percent_cover",0,0,0,0,0,10,0,10,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,160,10,10,11,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6591.49223093,0,0,0,0,564261.457710701,4756894.66965608,0,0.1,0
"251",250,1313,3,"7/25/2012","OSU",2012,3,"Excellent",0,"Dry","Cly/Slt",22,5,90,5,30,"percent_cover",0,0,0,0,0,5,0,5,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,31,20,30,5,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6661.93217599,0,0,0,0,563703.078788679,4756839.48289512,0,0.05,0
"252",251,1313,3,"7/25/2012","OSU",2012,4,"Excellent",0,"Dry","Cly/Slt",35,0,75,2,95,"percent_cover",0,0,0,0,0,2,0,2,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,31,20,30,5,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6669.91658663,0,0,0,0,563710.487351545,4756849.76905803,0,0.02,0
"253",252,1313,3,"7/25/2012","OSU",2012,5,"Excellent",0,"Dry","Cly/Slt",15,2,95,1,25,"percent_cover",0,0,0,0,0,5,0,5,"Little Pigeon Creek Wetland","Ottawa","T. Lemein","C. Webster",1,0,31,20,30,5,"T1: No launch for canoe. Submergent zone extends across river but the depth and consistency of the organic/water mix plus the amount of floating vegetation inhibits canoe movement. The organic material is too deep and loose to walk through. As much of th",173,6675.09665175,0,0,0,0,563710.356262176,4756855.09861884,0,0.05,0
"254",253,1318,1,"7/26/2012","OSU",2012,1,"Excellent",0,"Dry","Cly/Slt",0,0,90,2,100,"percent_cover",0,0,0,0,0,4,0,4,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,242,36,85,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,292.666760329,0,0,0,0,566679.476893019,4738172.30117148,0,0.04,0
"255",254,1318,1,"7/26/2012","OSU",2012,5,"Excellent",0,"Dry","Cly/Slt",0,0,100,5,100,"percent_cover",0,0,0,0,3,0,0,3,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,242,36,85,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,267.793066562,0,0,0,0,566654.753659404,4738157.73602601,0,0.03,0
"256",255,1318,1,"7/26/2012","OSU",2012,6,"Excellent",0,"Dry","Cly/Slt",0,0,40,7,100,"percent_cover",0,0,0,0,26,0,0,26,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,242,36,85,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,261.261076391,0,0,0,0,566642.988854868,4738156.40072476,0,0.26,0
"257",256,1318,1,"7/26/2012","OSU",2012,7,"Excellent",0,"Dry","Cly/Slt",0,0,50,7,100,"percent_cover",0,0,0,15,5,0,0,20,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,242,36,85,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,246.853333263,0,0,0,0,566626.711835237,4738148.02535483,0,0.2,0
"258",257,1318,1,"7/26/2012","OSU",2012,8,"Excellent",0,"Dry","Cly/Slt",0,0,50,5,100,"percent_cover",0,0,0,15,15,0,0,30,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,242,36,85,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,235.154980281,0,0,0,0,566609.181232177,4738142.41430502,0,0.3,0
"259",258,1318,1,"7/26/2012","OSU",2012,9,"Excellent",0,"Dry","Cly/Slt",0,0,35,5,100,"percent_cover",0,0,0,5,5,0,0,10,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,242,36,85,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,224.110083941,0,0,0,0,566596.821110594,4738134.96528105,0,0.1,0
"260",259,1318,1,"7/26/2012","OSU",2012,10,"Excellent",0,"Dry","Cly/Slt",0,0,45,10,100,"percent_cover",0,0,0,0,10,0,0,10,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,242,36,85,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,214.433259259,0,0,0,0,566581.581428363,4738129.26536865,0,0.1,0
"261",260,1318,2,"7/26/2012","OSU",2012,2,"Excellent",0,"Dry","Cly/Slt",0,0,95,1,100,"percent_cover",0,0,0,0,0,2,0,2,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,230,45,45,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,319.569087613,0,0,0,0,566598.980913978,4738233.15921084,0,0.02,0
"262",261,1318,2,"7/26/2012","OSU",2012,3,"Excellent",0,"Dry","Cly/Slt",0,0,85,5,100,"percent_cover",0,0,0,0,0,5,0,5,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,230,45,45,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,310.925924241,0,0,0,0,566594.312667427,4738225.34024656,0,0.05,0
"263",262,1318,2,"7/26/2012","OSU",2012,4,"Excellent",0,"Dry","Cly/Slt",0,0,80,2,100,"percent_cover",0,0,0,0,5,0,0,5,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,230,45,45,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,303.366485446,0,0,0,0,566587.91306545,4738218.9482911,0,0.05,0
"264",263,1318,2,"7/26/2012","OSU",2012,6,"Excellent",0,"Dry","Cly/Slt",0,0,25,5,100,"percent_cover",0,0,0,0,20,0,0,20,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,230,45,45,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,286.413723458,0,0,0,0,566572.431117384,4738204.47267012,0,0.2,0
"265",264,1318,2,"7/26/2012","OSU",2012,7,"Excellent",0,"Dry","Cly/Slt",0,0,20,10,100,"percent_cover",0,0,0,0,20,0,0,20,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,230,45,45,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,283.851875523,0,0,0,0,566568.688464311,4738202.43754541,0,0.2,0
"266",265,1318,2,"7/26/2012","OSU",2012,8,"Excellent",0,"Dry","Cly/Slt",0,0,45,5,100,"percent_cover",0,0,0,0,15,0,0,15,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,230,45,45,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,276.046977359,0,0,0,0,566562.540592103,4738195.38171136,0,0.15,0
"267",266,1318,2,"7/26/2012","OSU",2012,9,"Excellent",0,"Dry","Cly/Slt",0,0,70,5,100,"percent_cover",0,0,0,0,0,7,0,7,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,230,45,45,9,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,271.613235191,0,0,0,0,566553.904968037,4738191.85565204,0,0.07,0
"268",267,1318,3,"7/26/2012","OSU",2012,2,"Excellent",0,"Dry","Cly/Slt",100,5,85,5,95,"percent_cover",0,0,0,0,5,0,0,5,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,50,48,0,5,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,297.765359245,0,0,0,0,566483.745147847,4738215.7222313,0,0.05,0
"269",268,1318,3,"7/26/2012","OSU",2012,3,"Excellent",0,"Dry","Cly/Slt",100,0,75,10,100,"percent_cover",0,0,0,0,7,0,0,7,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,50,48,0,5,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,301.085920701,0,0,0,0,566489.430227525,4738219.88608982,0,0.07,0
"270",269,1318,3,"7/26/2012","OSU",2012,5,"Excellent",0,"Dry","Cly/Slt",100,0,75,2,100,"percent_cover",0,0,0,0,0,5,0,5,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,50,48,0,5,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,314.136217636,0,0,0,0,566506.217594884,4738234.70727671,0,0.05,0
"271",270,1318,3,"7/26/2012","OSU",2012,15,"Excellent",20,"V","Sand",45,75,15,0,10,"percent_cover",0,0,0,0,0,1,0,1,"Big Bay Wetland #3","Ottawa","T. Lemein","C. Webster",1,0,50,48,0,5,"Transects 1, 2, and 3: parallel submergent transects in river channel., Transect 3: No resistance in upper meter of organics - material is more silt/loam than organic. No emergent zone - meadow continues to open water.",90,319.42353978,0,0,0,0,566508.700335358,4738240.17293779,0,0.01,0
"272",271,1319,2,"7/6/2013","CMU",2013,1,"Excellent",0,"Dry","Cly/Slt",25,0,30,25,100,"percent_cover",0,0,0,0,30,0,0,30,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,675.147195777,0,0,0,0,560458.54613676,4695343.04827392,0,0.3,0
"273",272,1319,2,"7/6/2013","CMU",2013,2,"Excellent",0,"Dry","Cly/Slt",15,0,75,20,100,"percent_cover",0,0,0,0,55,0,0,55,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,654.222928318,0,0,0,0,560440.266612816,4695353.77270421,0,0.55,0
"274",273,1319,2,"7/6/2013","CMU",2013,3,"Excellent",0,"Dry","Cly/Slt",112,0,60,25,100,"percent_cover",0,0,0,0,40,0,0,40,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,628.52427981,0,0,0,0,560414.389172174,4695358.10189531,0,0.4,0
"275",274,1319,2,"7/6/2013","CMU",2013,4,"Excellent",1,"V","Cly/Slt",140,0,75,2,100,"percent_cover",0,0,0,0,60,0,0,60,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,605.376032812,0,0,0,0,560390.90479797,4695361.67453371,0,0.6,0
"276",275,1319,2,"7/6/2013","CMU",2013,5,"Excellent",3,"V","Cly/Slt",140,0,85,15,100,"percent_cover",0,0,0,0,75,0,0,75,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,585.493350302,0,0,0,0,560370.635387485,4695364.60873941,0,0.75,0
"277",276,1319,2,"7/6/2013","CMU",2013,6,"Excellent",6,"NV","Cly/Slt",140,5,75,3,40,"percent_cover",0,0,0,0,70,0,0,70,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,575.250308902,0,0,0,0,560361.541653138,4695369.4162299,0,0.7,0
"278",277,1319,2,"7/6/2013","CMU",2013,7,"Excellent",3,"NV","Cly/Slt",140,10,75,5,50,"percent_cover",0,0,0,0,70,0,0,70,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,572.391262374,0,0,0,0,560360.346164868,4695374.05984094,0,0.7,0
"279",278,1319,2,"7/6/2013","CMU",2013,8,"Excellent",4,"NV","Cly/Slt",140,10,75,3,50,"percent_cover",0,0,0,0,70,0,0,70,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,570.238180861,0,0,0,0,560359.920898414,4695378.80338133,0,0.7,0
"280",279,1319,2,"7/6/2013","CMU",2013,9,"Excellent",5,"NV","Cly/Slt",140,5,75,7,45,"percent_cover",0,0,0,0,70,0,0,70,"Black River Wetland","Van Buren","E. Tuttle","C. Erickson",1,0,252,109,25,11,"T1: Transect access permission denied by land owner.  Estimates on sample form, but not entered in database T2: emergent/ meadow: thick Typha glacuca up to water's edge; T. glauca interspersed with Impatiens, Solanaceaes, and other wet meadow species; T.",276,566.627852908,0,0,0,0,560358.655748812,4695385.51073457,0,0.7,0
